fold,ad_donors,ctrl_donors,n_train,n_test,n_test_labeled,held_out_kNN_purity,held_out_accuracy,naive_baseline,lift_over_naive,fold_runtime_sec,best_epoch,purity_Cytokine_NFkB,purity_DAM,purity_Homeostatic,purity_IRM,purity_Lipid_Assoc,purity_MHC-II,purity_PVM
1,"H2004_AD, 04_15","01_06, 03_03",14532,4469,3189,0.25376816138810493,0.3254938852304798,0.28535591094386953,0.040137974286610256,50.7267279624939,59,0.055284552845528454,0.12474226804123709,0.44923076923076927,0.11136363636363636,0.27503302509907535,0.09493333333333331,0.21087613293051358
2,"04_11AD, 03_02","02_11, 03_09",16665,2336,1388,0.30177713736791545,0.42867435158501443,0.22046109510086456,0.20821325648414987,56.284568071365356,54,0.07391304347826087,0.10341880341880341,0.33355119825708057,0.26995073891625615,0.3993197278911565,0.1086206896551724,0.283668903803132
3,"01_05, 05_10","O4_O9C, 04_09",16134,2867,1904,0.28480392156862744,0.36764705882352944,0.3429621848739496,0.024684873949579855,54.00284695625305,48,0.04266666666666667,0.09937888198757763,0.37611026033690664,0.2014367816091954,0.36552330694810914,0.14533965244865718,0.3188255613126079
4,"O4_15AD, 04_11","02_01, 01_09",15805,3196,2182,0.3058050717995722,0.4321723189734189,0.27360219981668193,0.15857011915673697,54.990745067596436,50,0.04047619047619048,0.1103244837758112,0.3672808486878839,0.25394190871369293,0.3485042735042735,0.1300925925925926,0.3338247338247338
5,"O4_13AD, 04_13","O3_O9C, 01_10",16080,2921,1912,0.30875174337517436,0.42887029288702927,0.3608786610878661,0.06799163179916318,57.61583495140076,48,0.0441025641025641,0.11506849315068493,0.4567149758454106,0.2288888888888889,0.32284644194756557,0.12452830188679245,0.30289017341040464
6,"O5_1OAD, 05_04","O1_1OC, O3_O3C",17083,1918,1075,0.3303565891472868,0.4316279069767442,0.4055813953488372,0.026046511627907,61.49780797958374,59,0.04242424242424243,0.08169014084507042,0.4663608562691131,0.2495126705653021,0.3387878787878789,0.105982905982906,0.22158730158730158
