state,VAE_purity,PCA_purity,delta_VAE_minus_PCA
Cytokine_NFkB,0.0514446793516561,0.05454545454545454,-0.0031007751937984426
DAM,0.12134615384615384,0.12807692307692306,-0.006730769230769221
Homeostatic,0.4202264539372105,0.44410705095213593,-0.023880597014925453
IRM,0.22060105528791005,0.2245927965129617,-0.003991741225051665
Lipid_Assoc,0.35894054291680405,0.35577535992966264,0.0031651829871414128
MHC-II,0.145726872246696,0.1581791483113069,-0.012452276064610884
PVM,0.31040967092008065,0.3379897022610253,-0.027580031340944666
