signature,n_AD,n_Control,mean_AD,mean_Control,delta,stat,pvalue,padj_bh
Homeostatic_score,10572,8429,0.07220827923571696,-0.03902572180611554,0.11123400104183251,53401480.5,1.3046705299133812e-122,1.043736423930705e-121
IRM_Interferon_score,10572,8429,-0.016014069250205692,-0.009276087441180225,-0.006737981809025467,36426116.0,7.269354069922767e-104,2.9077416279691066e-103
Cytokine_NFkB_score,10572,8429,0.003719286767820969,-0.0011606017935502928,0.004879888561371262,37673106.0,4.230883553256834e-76,1.1282356142018225e-75
DAM_score,10572,8429,0.01723978144631745,-0.05550200014837155,0.072741781594689,50753834.5,3.664774695637415e-61,7.32954939127483e-61
DAM_minus_Homeostatic,10572,8429,-0.05496849778939951,-0.016476278342256002,-0.03849221944714351,41820609.0,3.3118672318756226e-13,5.298987571000996e-13
PVM_Border_score,10572,8429,0.014920883107587801,-0.001325373446055648,0.016246256553643448,41938393.5,3.225892651771177e-12,4.3011902023615694e-12
MHC_II_score,10572,8429,0.0026280862493662763,-0.036058847684505756,0.038686933933872035,43481197.0,0.004230841343207271,0.004835247249379738
Lipid_Associated_score,10572,8429,-0.01674911407837382,-0.0558774300492233,0.03912831597084948,45385341.5,0.0272022483146233,0.0272022483146233
